id,label,country,Lat ,Lon
CWR,Cowarie,Australia,-27.716667,138.333333
CWT,Cowra,Australia,-33.82962889,148.6800097
CWW,Corowa,Australia,-35.983333,146.35
CXQ,Christmas Creek,Australia,-18.916667,125.916667
CXT,Charters Towers,Australia,-20.08090737,146.2587105
CYG,Corryong,Australia,-36.25,147.9
CZY,Cluny,Australia,-24.5,139.5
DAJ,Dauan Island,Australia,-9.433333,142.516667
DBO,Dubbo,Australia,-32.25995726,148.5973274
DBY,Dalby,Australia,-27.19385822,151.2657434
DCN,Derby,Australia,-17.29999184,123.9666345
DDI,Daydream Is,Australia,-20.166667,148.183333
DDN,Delta Downs,Australia,-16.916667,141.3
DFP,Drumduff,Australia,-16.0,143.033333
DGD,Dalgaranga,Australia,-27.766667,117.033333
DGE,Mudgee,Australia,-32.58960122,149.5801098
DHD,Durham Downs,Australia,-27.066667,141.916667
DKI,Dunk Island,Australia,-17.933333,146.166667
DKV,Docker River,Australia,-24.866667,129.116667
DLK,Dulkaninna,Australia,-29.016667,139.466667
DLV,Delissaville,Australia,-12.416667,130.341667
DMD,Doomadgee Mission,Australia,-18.0,138.833333
DNB,Dunbar,Australia,-16.083333,142.416667
DNG,Doongan,Australia,13.662778,122.3275
DNM,Denham,Australia,-25.916667,113.533333
DNQ,Deniliquin,Australia,-35.5295768,144.9500048
DOX,Dongara,Australia,-29.25,114.933333
DPO,Devonport,Australia,-41.19266757,146.3311017
DRD,Dorunda Station,Australia,-16.516667,142.366667
DRN,Dirranbandi,Australia,-28.5,148.258333
DRR,Durrie,Australia,-25.6,140.25
DRW,Darwin,Australia,-12.416667,130.866667
DVP,Davenport Downs,Australia,-24.166667,141.083333
DVR,Daly River,Australia,-13.75,130.683333
DXD,Dixie,Australia,-15.166667,143.666667
DYA,Dysart,Australia,-22.533333,149.383333
DYM,Diamantina Lakes,Australia,-23.866667,141.25
DYW,Daly Waters,Australia,-16.266667,133.366667
ECH,Echuca,Australia,-36.12959186,144.750017
EDD,Erldunda,Australia,-25.23330605,133.1999727
EDR,Pormpuraaw,Australia,-14.9,141.616667
EIH,Einasleigh,Australia,-18.5,144.1
EKD,Elkedra,Australia,-21.033333,135.25
ELC,Elcho Island,Australia,-12.016667,135.566667
EMD,Emerald,Australia,-23.51222247,148.1673278
ENB,Eneabba West,Australia,-30.083333,114.983333
EPR,Esperance,Australia,-33.857307,121.8888973
ERB,Ernabella,Australia,-26.266667,132.166667
ETD,Etadunna,Australia,-28.716667,138.633333
EUC,Eucla,Australia,-31.716667,128.866667
EVD,Eva Downs,Australia,-18.083333,134.866667
