id,label,country,Lat ,Lon
SWI,Gypsy,United Kingdom,51.566667,-1.783333
SWS,Fairwood Comm,United Kingdom,51.6,-4.066667
SYY,Stornoway,United Kingdom,58.216667,-6.333333
SZD,Sheffield City Airport,United Kingdom,53.366667,-1.5
TRE,Tiree,United Kingdom,56.5,-6.916667
TSO,Tresco,United Kingdom,49.95,-6.316667
ULL,Mull,United Kingdom,56.416667,-6.333333
UNT,Baltasound,United Kingdom,60.75,-0.85
UPV,Upavon,United Kingdom,51.283333,-1.816667
VLY,Anglesey,United Kingdom,53.27,-4.43
WEM,West Malling,United Kingdom,51.3,0.416667
WFD,Woodford,United Kingdom,51.116667,-1.833333
WHS,Whalsay,United Kingdom,60.366667,-0.983333
WIC,Wick,United Kingdom,58.43329246,-3.083362469
WOB,Woodbridge RAF,United Kingdom,51.55,-0.716667
WRY,Westray,United Kingdom,59.35,-2.95
WUK,Off Line Point,United Kingdom,52.95,-2.833333
WXF,Weathersfield Raf,United Kingdom,51.883333,-0.566667
XQH,Railway Station,United Kingdom,52.966667,-1.166667
YEO,Yeovilton,United Kingdom,51.016667,-2.633333
ZBC,Colmore Row Bus Stn,United Kingdom,52.466667,-1.916667
ZIV,ScotRail,United Kingdom,57.083333,-4.666667
ZMP,Manchester Bus Stn.,United Kingdom,50.0,-1.0
