id,label,country,Lat ,Lon
NAY,Beijing,China,40.25,116.5
NBS,Baishan,China,41.90001223,126.4299983
NDG,Qiqihar,China,47.34497703,123.9899922
NGB,Ningbo,China,29.87997072,121.5500378
NGQ,Shiquande,China,29.0,106.0
NKG,Nanjing,China,32.05001914,118.7799743
NLT,Xinyuan,China,37.18,99.0
NNG,Nanning,China,22.81998822,108.3200443
NNY,Nanyang,China,33.00040041,112.5300199
NTG,Nantong,China,32.0303821,120.8250175
NZH,Manzhouli,China,49.59998151,117.4299792
OHE,Mohe,China,52.98,122.54
PEK,Beijing,China,40.063333,116.584444
PNJ,Peng Lai/Sha He Kou,China,42.446389,119.573611
PVG,Shanghai,China,31.143333,121.805278
PZI,Panzhihua,China,26.5499931,101.7300073
RHT,Alxa Right Banner,China,39.2,101.67
RKZ,Xigaze/rikaze,China,29.27,88.89
RLK,Bayannur,China,40.74,107.39
RUG,Rugao,China,32.388333,120.555278
SHA,Shanghai,China,31.2,121.341111
SHE,Shenyang,China,41.871667,123.433333
SHF,Shanhaiguan,China,39.983333,119.75
SHP,Qinhuangdao,China,39.93036501,119.6200264
SHS,Shashi,China,30.32002138,112.2299865
SIA,Xiguan,China,34.366667,108.7
SJW,Shijiazhuang,China,38.05,114.466667
SWA,Shantou,China,23.37000633,116.6700256
SXJ,Shanshan,China,42.816667,90.233333
SYM,Simao,China,22.78068829,100.9781669
SYX,Sanya,China,18.25910454,109.5040317
SZV,Suzhou,China,31.30047833,120.620017
SZX,Shenzhen,China,22.55237051,114.1221231
TAO,Qingdao,China,36.08997927,120.3300089
TCG,Tacheng,China,46.75002626,82.95001664
TCZ,Tengchong,China,25.03331565,98.46658891
TEN,Tongren,China,27.68041506,109.1300207
TGO,Tongliao,China,43.61995892,122.2699939
THQ,Tianshui,China,34.60001853,105.9199841
TNA,Jinan,China,36.67498232,116.9950187
TNH,Tonghua,China,41.67997398,125.7499882
TSN,Tianjin,China,39.13002626,117.2000191
TVS,Tangshan,China,39.62433718,118.194377
TXN,Huangshan,China,29.711389,118.3125
