,Source,Source City,Source Country,Target,Target City,Target Country,Weight
13,SOV,Seldovia,USA,KEB,Nanwalek,USA,144
14,HOM,Homer,USA,SOV,Seldovia,USA,184
15,SOV,Seldovia,USA,HOM,Homer,USA,40
16,PGM,Port Graham,USA,HOM,Homer,USA,144
17,KEB,Nanwalek,USA,PGM,Port Graham,USA,144
18,AET,Allakaket,USA,AKP,Anaktuvuk Pass,USA,36
19,ANC,Anchorage,USA,GAL,Galena,USA,513
20,ANI,Aniak,USA,SHX,Shageluk,USA,243
21,BTI,Barter Island,USA,FAI,Fairbanks,USA,513
22,BTI,Barter Island,USA,SCC,Prudhoe Bay/Deadhorse,USA,513
23,FAI,Fairbanks,USA,BTI,Barter Island,USA,513
24,ANI,Aniak,USA,RSH,Russian Mission,USA,243
25,ANC,Anchorage,USA,ANI,Aniak,USA,1102
26,ANI,Aniak,USA,ANC,Anchorage,USA,589
27,ANI,Aniak,USA,HCR,Holy Cross,USA,522
28,ANI,Aniak,USA,BET,Bethel,USA,513
29,GAL,Galena,USA,ANC,Anchorage,USA,513
30,SHX,Shageluk,USA,ANI,Aniak,USA,522
31,AET,Allakaket,USA,FAI,Fairbanks,USA,90
32,AIN,Wainwright,USA,BRW,Barrow,USA,243
33,ANI,Aniak,USA,KLG,Kalskag,USA,243
34,FAI,Fairbanks,USA,FYU,Fort Yukon,USA,950
35,FYU,Fort Yukon,USA,FAI,Fairbanks,USA,950
36,ANC,Anchorage,USA,DLG,Dillingham,USA,589
37,DLG,Dillingham,USA,ANC,Anchorage,USA,589
38,GAL,Galena,USA,KYU,Koyukuk,USA,243
39,KYU,Koyukuk,USA,GAL,Galena,USA,243
40,NUI,Nuiqsut,USA,SCC,Prudhoe Bay/Deadhorse,USA,513
41,RBY,Ruby,USA,TAL,Tanana,USA,243
42,SCC,Prudhoe Bay/Deadhorse,USA,NUI,Nuiqsut,USA,513
43,TAL,Tanana,USA,RBY,Ruby,USA,243
44,BRW,Barrow,USA,NUI,Nuiqsut,USA,513
45,NUI,Nuiqsut,USA,BRW,Barrow,USA,513
46,RSH,Russian Mission,USA,KLG,Kalskag,USA,243
47,FAI,Fairbanks,USA,TAL,Tanana,USA,243
48,SCC,Prudhoe Bay/Deadhorse,USA,BTI,Barter Island,USA,513
49,TAL,Tanana,USA,FAI,Fairbanks,USA,243
50,AIN,Wainwright,USA,PIZ,Point Lay,USA,243
51,AKP,Anaktuvuk Pass,USA,FAI,Fairbanks,USA,153
52,FAI,Fairbanks,USA,AKP,Anaktuvuk Pass,USA,117
53,GAL,Galena,USA,HSL,Huslia,USA,513
54,GAL,Galena,USA,NUL,Nulato,USA,589
55,HSL,Huslia,USA,GAL,Galena,USA,513
56,KAL,Kaltag,USA,NUL,Nulato,USA,513
57,AIN,Wainwright,USA,ATK,Atqasuk,USA,243
58,ATK,Atqasuk,USA,BRW,Barrow,USA,243
59,PIZ,Point Lay,USA,BRW,Barrow,USA,243
60,KLG,Kalskag,USA,BET,Bethel,USA,243
61,ANV,Anvik,USA,KGX,Grayling,USA,522
62,HCR,Holy Cross,USA,ANI,Aniak,USA,279
63,KGX,Grayling,USA,ANV,Anvik,USA,279
64,ANC,Anchorage,USA,FAI,Fairbanks,USA,2717
65,FAI,Fairbanks,USA,AET,Allakaket,USA,126
66,FAI,Fairbanks,USA,ANC,Anchorage,USA,2717
67,KGX,Grayling,USA,SHX,Shageluk,USA,522
68,ANC,Anchorage,USA,BET,Bethel,USA,589
69,BET,Bethel,USA,ANC,Anchorage,USA,1102
70,BET,Bethel,USA,ANI,Aniak,USA,243
71,FAI,Fairbanks,USA,GAL,Galena,USA,1102
72,GAL,Galena,USA,FAI,Fairbanks,USA,1102
73,GAL,Galena,USA,KAL,Kaltag,USA,513
74,KAL,Kaltag,USA,GAL,Galena,USA,589
75,BRW,Barrow,USA,AIN,Wainwright,USA,729
76,GAL,Galena,USA,RBY,Ruby,USA,243
77,KLG,Kalskag,USA,ANI,Aniak,USA,243
78,KYU,Koyukuk,USA,NUL,Nulato,USA,243
79,NUL,Nulato,USA,KAL,Kaltag,USA,243
80,NUL,Nulato,USA,KYU,Koyukuk,USA,243
81,ANV,Anvik,USA,HCR,Holy Cross,USA,279
82,HCR,Holy Cross,USA,ANV,Anvik,USA,522
83,NUL,Nulato,USA,GAL,Galena,USA,513
84,NUL,Nulato,USA,KAL,Kaltag,USA,589
85,SHX,Shageluk,USA,KGX,Grayling,USA,279
86,RBY,Ruby,USA,GAL,Galena,USA,243
87,ESD,Eastsound,USA,LPS,Lopez Island,USA,744
88,LPS,Lopez Island,USA,ESD,Eastsound,USA,744
89,FRD,Friday Harbor,USA,LPS,Lopez Island,USA,744
90,LPS,Lopez Island,USA,FRD,Friday Harbor,USA,744
91,BFI,Seattle,USA,FRD,Friday Harbor,USA,992
92,FRD,Friday Harbor,USA,BFI,Seattle,USA,992
208,KTB,Thorne Bay,USA,KTN,Ketchikan,USA,434
209,KTN,Ketchikan,USA,KTB,Thorne Bay,USA,434
214,CGA,Craig,USA,KLW,Klawock,USA,434
215,KLW,Klawock,USA,CGA,Craig,USA,434
244,AKP,Anaktuvuk Pass,USA,FAI,Fairbanks,USA,112
245,FYU,Fort Yukon,USA,FAI,Fairbanks,USA,184
246,KYU,Koyukuk,USA,HSL,Huslia,USA,184
247,RBY,Ruby,USA,KAL,Kaltag,USA,368
248,BTT,Bettles,USA,AKP,Anaktuvuk Pass,USA,112
249,FAI,Fairbanks,USA,LMA,Lake Minchumina,USA,184
250,GAL,Galena,USA,RBY,Ruby,USA,184
251,HUS,Hughes,USA,HSL,Huslia,USA,184
252,FAI,Fairbanks,USA,HUS,Hughes,USA,184
253,HSL,Huslia,USA,FAI,Fairbanks,USA,368
254,KAL,Kaltag,USA,NUL,Nulato,USA,368
255,WBQ,Beaver,USA,VEE,Venetie,USA,184
256,TAL,Tanana,USA,RBY,Ruby,USA,184
257,NUL,Nulato,USA,KYU,Koyukuk,USA,368
258,FAI,Fairbanks,USA,BTT,Bettles,USA,112
259,FAI,Fairbanks,USA,TAL,Tanana,USA,184
260,VEE,Venetie,USA,FYU,Fort Yukon,USA,184
261,EAA,Eagle,USA,FAI,Fairbanks,USA,400
262,FAI,Fairbanks,USA,EAA,Eagle,USA,400
263,FAI,Fairbanks,USA,WBQ,Beaver,USA,184
264,KYU,Koyukuk,USA,GAL,Galena,USA,184
265,LMA,Lake Minchumina,USA,FAI,Fairbanks,USA,184
274,FLL,Fort Lauderdale,USA,MIA,Miami,USA,95
292,EMA,Nottingham,United Kingdom,IOM,Isle of Man,United Kingdom,513
293,IOM,Isle of Man,United Kingdom,EMA,Nottingham,United Kingdom,513
294,EDI,Edinburgh,United Kingdom,IOM,Isle of Man,United Kingdom,1026
295,IOM,Isle of Man,United Kingdom,EDI,Edinburgh,United Kingdom,1026
296,IOM,Isle of Man,United Kingdom,LPL,Liverpool,United Kingdom,3154
297,LPL,Liverpool,United Kingdom,IOM,Isle of Man,United Kingdom,3154
390,BET,Bethel,USA,HPB,Hooper Bay,USA,140
391,BET,Bethel,USA,WTL,Tuntutuliak,USA,140
392,GAM,Gambell,USA,WAA,Wales,USA,270
393,WAA,Wales,USA,GAM,Gambell,USA,270
394,BET,Bethel,USA,EEK,Eek,USA,130
395,KPN,Kipnuk,USA,CYF,Chefornak,USA,140
396,OME,Nome,USA,SVA,Savoonga,USA,410
397,SVA,Savoonga,USA,OME,Nome,USA,270
398,WWT,Newtok,USA,NME,Nightmute,USA,130
399,ELI,Elim,USA,OME,Nome,USA,410
400,OME,Nome,USA,WMO,White Mountain,USA,410
401,CYF,Chefornak,USA,BET,Bethel,USA,140
402,GNU,Goodnews Bay,USA,PTU,Platinum,USA,130
403,KKH,Kongiganak,USA,KWK,Kwigillingok,USA,140
404,VAK,Chevak,USA,BET,Bethel,USA,140
405,WTL,Tuntutuliak,USA,KKH,Kongiganak,USA,140
406,GAM,Gambell,USA,OME,Nome,USA,140
407,GAM,Gambell,USA,SVA,Savoonga,USA,270
408,KWN,Quinhagak,USA,GNU,Goodnews Bay,USA,130
409,SVA,Savoonga,USA,GAM,Gambell,USA,410
410,WAA,Wales,USA,OME,Nome,USA,130
411,OOK,Toksook Bay,USA,TNK,Tununak,USA,130
412,HPB,Hooper Bay,USA,SCM,Scammon Bay,USA,140
413,OME,Nome,USA,TLA,Teller,USA,400
414,TLA,Teller,USA,KTS,Teller Mission,USA,670
415,TNK,Tununak,USA,BET,Bethel,USA,130
416,NME,Nightmute,USA,OOK,Toksook Bay,USA,130
417,OME,Nome,USA,SHH,Shishmaref,USA,270
418,SCM,Scammon Bay,USA,VAK,Chevak,USA,140
419,SHH,Shishmaref,USA,OME,Nome,USA,270
420,KWK,Kwigillingok,USA,KPN,Kipnuk,USA,140
421,SHH,Shishmaref,USA,WAA,Wales,USA,400
422,WAA,Wales,USA,SHH,Shishmaref,USA,270
423,KTS,Teller Mission,USA,OME,Nome,USA,270
424,KTS,Teller Mission,USA,SHH,Shishmaref,USA,130
425,KTS,Teller Mission,USA,WMO,White Mountain,USA,270
426,EEK,Eek,USA,KWN,Quinhagak,USA,130
427,DIO,Diomede Island,USA,OME,Nome,USA,270
428,OME,Nome,USA,DIO,Diomede Island,USA,270
429,BET,Bethel,USA,WWT,Newtok,USA,130
430,GLV,Golovin,USA,ELI,Elim,USA,680
431,PTU,Platinum,USA,BET,Bethel,USA,130
432,WMO,White Mountain,USA,GLV,Golovin,USA,680
433,ELI,Elim,USA,TLA,Teller,USA,270
503,FAI,Fairbanks,USA,TAL,Tanana,USA,92
504,MOU,Mountain Village,USA,PQS,Pilot Station,USA,108
505,RDV,Red Devil,USA,CKD,Crooked Creek,USA,52
506,SHG,Shungnak,USA,OBU,Kobuk,USA,56
507,EMK,Emmonak,USA,AUK,Alakanuk,USA,92
508,FYU,Fort Yukon,USA,CIK,Chalkyitsik,USA,52
509,HCR,Holy Cross,USA,ANV,Anvik,USA,108
510,SLQ,Sleetmute,USA,RDV,Red Devil,USA,52
511,TNK,Tununak,USA,OOK,Toksook Bay,USA,56
512,KVL,Kivalina,USA,WTK,Noatak,USA,52
513,LMA,Lake Minchumina,USA,MCG,Mcgrath,USA,32
514,MCG,Mcgrath,USA,LMA,Lake Minchumina,USA,32
515,TCT,Takotna,USA,TLJ,Tatalina,USA,52
516,CIK,Chalkyitsik,USA,ARC,Arctic Village,USA,52
517,KLG,Kalskag,USA,RSH,Russian Mission,USA,108
518,OTZ,Kotzebue,USA,KVL,Kivalina,USA,52
519,WTL,Tuntutuliak,USA,BET,Bethel,USA,92
520,SMK,St Michael,USA,WBB,Stebbins,USA,52
521,TAL,Tanana,USA,FAI,Fairbanks,USA,92
522,VAK,Chevak,USA,BET,Bethel,USA,92
523,AET,Allakaket,USA,FAI,Fairbanks,USA,56
524,MLL,Marshall,USA,BET,Bethel,USA,56
525,OBU,Kobuk,USA,OTZ,Kotzebue,USA,56
526,SXP,Sheldon Point,USA,EMK,Emmonak,USA,92
527,BET,Bethel,USA,CYF,Chefornak,USA,92
528,UNK,Unalakleet,USA,SKK,Shaktoolik,USA,52
529,ANI,Aniak,USA,KLG,Kalskag,USA,216
530,ANI,Aniak,USA,SLQ,Sleetmute,USA,52
531,FAI,Fairbanks,USA,MLY,Manley Hot Springs,USA,52
532,KKH,Kongiganak,USA,WTL,Tuntutuliak,USA,92
533,MLY,Manley Hot Springs,USA,MNT,Minto,USA,52
534,NUL,Nulato,USA,KAL,Kaltag,USA,92
535,ARC,Arctic Village,USA,VEE,Venetie,USA,52
536,ATT,Atmautluak,USA,MLL,Marshall,USA,56
537,OOK,Toksook Bay,USA,NME,Nightmute,USA,56
538,PQS,Pilot Station,USA,KSM,St Marys,USA,108
539,RBY,Ruby,USA,TAL,Tanana,USA,92
540,BET,Bethel,USA,ATT,Atmautluak,USA,56
541,ABL,Ambler,USA,SHG,Shungnak,USA,56
542,CHU,Chuathbaluk,USA,ANI,Aniak,USA,52
543,KWK,Kwigillingok,USA,KKH,Kongiganak,USA,92
544,MNT,Minto,USA,FAI,Fairbanks,USA,52
545,SCM,Scammon Bay,USA,HPB,Hooper Bay,USA,92
546,BET,Bethel,USA,WWT,Newtok,USA,56
547,KSM,St Marys,USA,MOU,Mountain Village,USA,108
548,KYU,Koyukuk,USA,NUL,Nulato,USA,92
549,OTZ,Kotzebue,USA,IAN,Kiana,USA,52
550,FAI,Fairbanks,USA,BTT,Bettles,USA,56
551,HPB,Hooper Bay,USA,VAK,Chevak,USA,92
552,OTZ,Kotzebue,USA,PHO,Point Hope,USA,56
553,OTZ,Kotzebue,USA,WLK,Selawik,USA,56
554,PHO,Point Hope,USA,OTZ,Kotzebue,USA,56
555,VEE,Venetie,USA,WBQ,Beaver,USA,52
556,BET,Bethel,USA,SCM,Scammon Bay,USA,92
557,BKC,Buckland,USA,DRG,Deering,USA,56
558,CKD,Crooked Creek,USA,CHU,Chuathbaluk,USA,52
559,GAL,Galena,USA,RBY,Ruby,USA,148
560,RBY,Ruby,USA,GAL,Galena,USA,148
561,BTT,Bettles,USA,AKP,Anaktuvuk Pass,USA,56
562,CYF,Chefornak,USA,KPN,Kipnuk,USA,92
563,GAL,Galena,USA,KYU,Koyukuk,USA,92
564,LVD,Lime Village,USA,MCG,Mcgrath,USA,20
565,MCG,Mcgrath,USA,LVD,Lime Village,USA,20
566,MCG,Mcgrath,USA,TCT,Takotna,USA,52
567,OTZ,Kotzebue,USA,ABL,Ambler,USA,56
568,RSH,Russian Mission,USA,ANI,Aniak,USA,108
569,WBQ,Beaver,USA,FAI,Fairbanks,USA,52
570,WLK,Selawik,USA,BKC,Buckland,USA,56
571,AUK,Alakanuk,USA,SXP,Sheldon Point,USA,92
572,EMK,Emmonak,USA,KOT,Kotlik,USA,92
573,KOT,Kotlik,USA,EMK,Emmonak,USA,92
574,KKA,Koyuk,USA,GAL,Galena,USA,52
575,UNK,Unalakleet,USA,SMK,St Michael,USA,52
576,WBB,Stebbins,USA,UNK,Unalakleet,USA,52
577,FAI,Fairbanks,USA,FYU,Fort Yukon,USA,52
578,FAI,Fairbanks,USA,RBY,Ruby,USA,56
579,GAL,Galena,USA,HSL,Huslia,USA,56
580,KPN,Kipnuk,USA,KWK,Kwigillingok,USA,92
581,RBY,Ruby,USA,FAI,Fairbanks,USA,56
582,WTK,Noatak,USA,OTZ,Kotzebue,USA,52
583,TAL,Tanana,USA,RBY,Ruby,USA,92
584,FAI,Fairbanks,USA,LMA,Lake Minchumina,USA,52
585,KGX,Grayling,USA,SHX,Shageluk,USA,108
586,LMA,Lake Minchumina,USA,FAI,Fairbanks,USA,52
587,MCG,Mcgrath,USA,NIB,Nikolai,USA,108
588,NIB,Nikolai,USA,MCG,Mcgrath,USA,108
589,SHX,Shageluk,USA,ANI,Aniak,USA,108
590,SKK,Shaktoolik,USA,KKA,Koyuk,USA,52
591,TLJ,Tatalina,USA,MCG,Mcgrath,USA,52
592,AKP,Anaktuvuk Pass,USA,AET,Allakaket,USA,56
593,ANV,Anvik,USA,KGX,Grayling,USA,108
594,DRG,Deering,USA,OTZ,Kotzebue,USA,56
595,IAN,Kiana,USA,ORV,Noorvik,USA,52
596,ANI,Aniak,USA,HCR,Holy Cross,USA,108
597,HCR,Holy Cross,USA,ANI,Aniak,USA,108
598,KLG,Kalskag,USA,HCR,Holy Cross,USA,108
599,NME,Nightmute,USA,BET,Bethel,USA,56
600,ORV,Noorvik,USA,OTZ,Kotzebue,USA,52
601,WWT,Newtok,USA,TNK,Tununak,USA,56
787,AET,Allakaket,USA,UTO,Utopia Creek,USA,45
788,FAI,Fairbanks,USA,SVS,Stevens Village,USA,115
789,SVS,Stevens Village,USA,FAI,Fairbanks,USA,115
790,CHP,Circle Hot Springs,USA,CEM,Central,USA,243
791,FAI,Fairbanks,USA,RMP,Rampart,USA,279
792,HSL,Huslia,USA,HUS,Hughes,USA,243
793,HUS,Hughes,USA,HSL,Huslia,USA,279
794,CEM,Central,USA,IRC,Circle,USA,243
795,FAI,Fairbanks,USA,HSL,Huslia,USA,243
796,HSL,Huslia,USA,FAI,Fairbanks,USA,279
797,VEE,Venetie,USA,WBQ,Beaver,USA,243
798,FAI,Fairbanks,USA,HUS,Hughes,USA,477
799,GAL,Galena,USA,KAL,Kaltag,USA,279
800,HUS,Hughes,USA,FAI,Fairbanks,USA,243
801,KAL,Kaltag,USA,GAL,Galena,USA,243
802,AET,Allakaket,USA,BTT,Bettles,USA,243
803,CIK,Chalkyitsik,USA,FYU,Fort Yukon,USA,279
804,FAI,Fairbanks,USA,FYU,Fort Yukon,USA,1080
805,AET,Allakaket,USA,FAI,Fairbanks,USA,198
806,FAI,Fairbanks,USA,AET,Allakaket,USA,288
807,RMP,Rampart,USA,TAL,Tanana,USA,279
808,ABL,Ambler,USA,OBU,Kobuk,USA,279
809,FAI,Fairbanks,USA,FYU,Fort Yukon,USA,992
810,FYU,Fort Yukon,USA,FAI,Fairbanks,USA,992
811,OBU,Kobuk,USA,FAI,Fairbanks,USA,279
812,FAI,Fairbanks,USA,WBQ,Beaver,USA,135
813,GAL,Galena,USA,NUL,Nulato,USA,243
814,HUS,Hughes,USA,AET,Allakaket,USA,198
815,IRC,Circle,USA,FAI,Fairbanks,USA,243
816,BTT,Bettles,USA,FAI,Fairbanks,USA,486
817,FAI,Fairbanks,USA,BTT,Bettles,USA,279
818,FYU,Fort Yukon,USA,CIK,Chalkyitsik,USA,279
819,FYU,Fort Yukon,USA,FAI,Fairbanks,USA,1080
820,FAI,Fairbanks,USA,CHP,Circle Hot Springs,USA,243
821,AKP,Anaktuvuk Pass,USA,BTT,Bettles,USA,243
822,BTT,Bettles,USA,AKP,Anaktuvuk Pass,USA,279
823,FAI,Fairbanks,USA,GAL,Galena,USA,729
824,FAI,Fairbanks,USA,VEE,Venetie,USA,243
825,GAL,Galena,USA,FAI,Fairbanks,USA,729
826,SHG,Shungnak,USA,ABL,Ambler,USA,279
827,UTO,Utopia Creek,USA,FAI,Fairbanks,USA,45
828,WBQ,Beaver,USA,VEE,Venetie,USA,135
829,NUL,Nulato,USA,GAL,Galena,USA,279
830,KAL,Kaltag,USA,NUL,Nulato,USA,279
831,NUL,Nulato,USA,KAL,Kaltag,USA,243
832,WBQ,Beaver,USA,FAI,Fairbanks,USA,243
833,AKP,Anaktuvuk Pass,USA,FAI,Fairbanks,USA,279
834,FAI,Fairbanks,USA,AKP,Anaktuvuk Pass,USA,243
835,FAI,Fairbanks,USA,SHG,Shungnak,USA,279
836,FAI,Fairbanks,USA,TAL,Tanana,USA,486
837,TAL,Tanana,USA,FAI,Fairbanks,USA,765
838,VEE,Venetie,USA,FAI,Fairbanks,USA,135
839,TOG,Togiak,USA,DLG,Dillingham,USA,540
840,DLG,Dillingham,USA,KMO,Manokotak,USA,540
841,OME,Nome,USA,SVA,Savoonga,USA,540
842,TLA,Teller,USA,OME,Nome,USA,540
843,GLV,Golovin,USA,ELI,Elim,USA,460
844,GAM,Gambell,USA,OME,Nome,USA,540
845,KMO,Manokotak,USA,TOG,Togiak,USA,540
846,KTS,Teller Mission,USA,TLA,Teller,USA,540
847,SHH,Shishmaref,USA,KTS,Teller Mission,USA,540
848,OME,Nome,USA,SHH,Shishmaref,USA,540
849,KEK,Ekwok,USA,KNW,New Stuyahok,USA,540
850,OME,Nome,USA,WMO,White Mountain,USA,460
851,ELI,Elim,USA,OME,Nome,USA,460
852,KGK,Koliganek,USA,DLG,Dillingham,USA,540
853,WMO,White Mountain,USA,GLV,Golovin,USA,460
854,KNW,New Stuyahok,USA,KGK,Koliganek,USA,540
855,SVA,Savoonga,USA,GAM,Gambell,USA,540
856,DLG,Dillingham,USA,KEK,Ekwok,USA,540
858,BET,Bethel,USA,KPN,Kipnuk,USA,216
859,KPN,Kipnuk,USA,BET,Bethel,USA,216
864,MCO,Orlando,USA,PIE,St Petersburg (US),USA,720
879,MCO,Orlando,USA,PIE,St Petersburg (US),USA,2232
1076,BHD,Belfast,United Kingdom,IOM,Isle of Man,United Kingdom,828
1077,IOM,Isle of Man,United Kingdom,BHD,Belfast,United Kingdom,828
1078,BLK,Blackpool,United Kingdom,IOM,Isle of Man,United Kingdom,1116
1079,IOM,Isle of Man,United Kingdom,BLK,Blackpool,United Kingdom,1116
1259,BRW,Barrow,USA,AIN,Wainwright,USA,405
1260,UNK,Unalakleet,USA,WBB,Stebbins,USA,204
1261,WBB,Stebbins,USA,UNK,Unalakleet,USA,162
1262,SMK,St Michael,USA,UNK,Unalakleet,USA,204
1263,UNK,Unalakleet,USA,SMK,St Michael,USA,162
1264,GLV,Golovin,USA,OME,Nome,USA,126
1265,OME,Nome,USA,SHH,Shishmaref,USA,27
1266,OME,Nome,USA,UNK,Unalakleet,USA,63
1267,OME,Nome,USA,WMO,White Mountain,USA,486
1268,SHH,Shishmaref,USA,OME,Nome,USA,9
1269,UNK,Unalakleet,USA,OME,Nome,USA,63
1270,BRW,Barrow,USA,NUI,Nuiqsut,USA,405
1271,IAN,Kiana,USA,ORV,Noorvik,USA,243
1272,NUI,Nuiqsut,USA,BRW,Barrow,USA,405
1273,OME,Nome,USA,KTS,Teller Mission,USA,63
1274,ORV,Noorvik,USA,IAN,Kiana,USA,243
1275,OTZ,Kotzebue,USA,WTK,Noatak,USA,243
1276,SMK,St Michael,USA,WBB,Stebbins,USA,162
1277,SMK,St Michael,USA,WBB,Stebbins,USA,180
1278,UNK,Unalakleet,USA,SKK,Shaktoolik,USA,204
1279,WBB,Stebbins,USA,SMK,St Michael,USA,204
1280,WBB,Stebbins,USA,SMK,St Michael,USA,180
1281,WTK,Noatak,USA,OTZ,Kotzebue,USA,243
1282,AIN,Wainwright,USA,BRW,Barrow,USA,279
1283,GAM,Gambell,USA,SVA,Savoonga,USA,450
1284,KKA,Koyuk,USA,OME,Nome,USA,84
1285,KKA,Koyuk,USA,OME,Nome,USA,360
1286,OME,Nome,USA,KKA,Koyuk,USA,423
1287,OME,Nome,USA,SHH,Shishmaref,USA,810
1288,BKC,Buckland,USA,OTZ,Kotzebue,USA,486
1289,KKA,Koyuk,USA,SKK,Shaktoolik,USA,105
1290,OME,Nome,USA,SMK,St Michael,USA,180
1291,OTZ,Kotzebue,USA,BKC,Buckland,USA,486
1292,PHO,Point Hope,USA,PIZ,Point Lay,USA,243
1293,PIZ,Point Lay,USA,PHO,Point Hope,USA,243
1294,SMK,St Michael,USA,OME,Nome,USA,180
1295,UNK,Unalakleet,USA,WBB,Stebbins,USA,180
1296,WAA,Wales,USA,KTS,Teller Mission,USA,600
1297,WBB,Stebbins,USA,UNK,Unalakleet,USA,180
1298,OTZ,Kotzebue,USA,PHO,Point Hope,USA,243
1299,PHO,Point Hope,USA,OTZ,Kotzebue,USA,243
1300,AIN,Wainwright,USA,ATK,Atqasuk,USA,405
1301,OME,Nome,USA,WAA,Wales,USA,9
1302,SHH,Shishmaref,USA,OME,Nome,USA,810
1303,SKK,Shaktoolik,USA,UNK,Unalakleet,USA,423
1304,SVA,Savoonga,USA,GAM,Gambell,USA,72
1305,UNK,Unalakleet,USA,SKK,Shaktoolik,USA,360
1306,WAA,Wales,USA,OME,Nome,USA,27
1307,ATK,Atqasuk,USA,BRW,Barrow,USA,405
1308,OTZ,Kotzebue,USA,WLK,Selawik,USA,486
1309,WLK,Selawik,USA,OTZ,Kotzebue,USA,486
1310,WMO,White Mountain,USA,ELI,Elim,USA,126
1311,KKA,Koyuk,USA,UNK,Unalakleet,USA,162
1312,UNK,Unalakleet,USA,KKA,Koyuk,USA,42
1313,BRW,Barrow,USA,ATK,Atqasuk,USA,279
1314,BRW,Barrow,USA,PIZ,Point Lay,USA,243
1315,IAN,Kiana,USA,OTZ,Kotzebue,USA,243
1316,KVL,Kivalina,USA,WTK,Noatak,USA,243
1317,OTZ,Kotzebue,USA,IAN,Kiana,USA,243
1318,PIZ,Point Lay,USA,BRW,Barrow,USA,243
1319,SHH,Shishmaref,USA,WAA,Wales,USA,27
1320,WAA,Wales,USA,SHH,Shishmaref,USA,9
1321,WTK,Noatak,USA,KVL,Kivalina,USA,243
1322,BTI,Barter Island,USA,SCC,Prudhoe Bay/Deadhorse,USA,405
1323,ELI,Elim,USA,OME,Nome,USA,360
1324,NUI,Nuiqsut,USA,SCC,Prudhoe Bay/Deadhorse,USA,405
1325,SCC,Prudhoe Bay/Deadhorse,USA,BTI,Barter Island,USA,405
1326,SCC,Prudhoe Bay/Deadhorse,USA,NUI,Nuiqsut,USA,405
1327,ELI,Elim,USA,GLV,Golovin,USA,126
1328,GLV,Golovin,USA,ELI,Elim,USA,360
1329,KKA,Koyuk,USA,SKK,Shaktoolik,USA,423
1330,KVL,Kivalina,USA,OTZ,Kotzebue,USA,243
1331,OME,Nome,USA,KKA,Koyuk,USA,105
1332,OTZ,Kotzebue,USA,KVL,Kivalina,USA,243
1333,SKK,Shaktoolik,USA,KKA,Koyuk,USA,360
1334,OME,Nome,USA,WAA,Wales,USA,705
1335,SKK,Shaktoolik,USA,KKA,Koyuk,USA,204
1336,SKK,Shaktoolik,USA,UNK,Unalakleet,USA,105
1337,WAA,Wales,USA,OME,Nome,USA,105
1338,WMO,White Mountain,USA,GLV,Golovin,USA,360
1339,ATK,Atqasuk,USA,AIN,Wainwright,USA,279
1340,TLA,Teller,USA,OME,Nome,USA,63
1341,KTS,Teller Mission,USA,OME,Nome,USA,600
1342,ORV,Noorvik,USA,OTZ,Kotzebue,USA,243
1343,OTZ,Kotzebue,USA,ORV,Noorvik,USA,243
1344,OME,Nome,USA,SVA,Savoonga,USA,72
1345,SVA,Savoonga,USA,OME,Nome,USA,450
1346,KTS,Teller Mission,USA,TLA,Teller,USA,63
1347,GAM,Gambell,USA,OME,Nome,USA,72
1348,OME,Nome,USA,GAM,Gambell,USA,450
1395,CWL,Cardiff,United Kingdom,JER,Jersey,United Kingdom,552
1396,JER,Jersey,United Kingdom,CWL,Cardiff,United Kingdom,552
1397,JER,Jersey,United Kingdom,PLH,Plymouth,United Kingdom,368
1398,PLH,Plymouth,United Kingdom,JER,Jersey,United Kingdom,368
1401,JER,Jersey,United Kingdom,SWS,Swansea,United Kingdom,184
1402,SWS,Swansea,United Kingdom,JER,Jersey,United Kingdom,184
1405,CWL,Cardiff,United Kingdom,SWS,Swansea,United Kingdom,3542
1408,SWS,Swansea,United Kingdom,CWL,Cardiff,United Kingdom,3542
1411,CWL,Cardiff,United Kingdom,LCY,London (GB),United Kingdom,3542
1412,LCY,London (GB),United Kingdom,CWL,Cardiff,United Kingdom,3542
1415,BHD,Belfast,United Kingdom,CWL,Cardiff,United Kingdom,2300
1416,CWL,Cardiff,United Kingdom,BHD,Belfast,United Kingdom,2300
1886,BET,Bethel,USA,KWK,Kwigillingok,USA,414
1887,BET,Bethel,USA,NME,Nightmute,USA,558
1888,ANC,Anchorage,USA,ENA,Kenai,USA,3510
1889,ANC,Anchorage,USA,HOM,Homer,USA,1944
1890,BET,Bethel,USA,KPN,Kipnuk,USA,558
1891,BET,Bethel,USA,GNU,Goodnews Bay,USA,558
1892,BET,Bethel,USA,HPB,Hooper Bay,USA,414
1893,BET,Bethel,USA,WTL,Tuntutuliak,USA,558
1894,CYF,Chefornak,USA,KPN,Kipnuk,USA,486
1895,GNU,Goodnews Bay,USA,PTU,Platinum,USA,558
1896,KPN,Kipnuk,USA,CYF,Chefornak,USA,558
1897,KKH,Kongiganak,USA,KWK,Kwigillingok,USA,558
1898,KWK,Kwigillingok,USA,BET,Bethel,USA,558
1899,KWK,Kwigillingok,USA,KKH,Kongiganak,USA,414
1900,BET,Bethel,USA,CYF,Chefornak,USA,486
1901,BET,Bethel,USA,VAK,Chevak,USA,414
1902,VAK,Chevak,USA,BET,Bethel,USA,972
